#DocumentID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffset	Mention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
S0004-06142006000500011-1	SHORT_FORM	168	T2N0M0	SHORT-NESTED	NESTED	2	167	fermo varón de 59 años con antecedentes de enfermedad pulmonar obstructiva crónica y lobectomía inferior derecha hace seis meses por carcinoma epidermoide de pulmón 
S0004-06142006000900009-1	SHORT_FORM	959	TTPA	SHORT-LONG	LONG_FORM	916	957	tiempo parcial de tromboplastina activada
S0004-06142008000100008-1	SHORT_FORM	528	EBA	SHORT-LONG	LONG_FORM	500	526	exploración bajo anestesia
S0004-06142008000100008-1	SHORT_FORM	575	RTU	SHORT-LONG	LONG_FORM	535	557	resección transuretral
S0004-06142009000100014-1	SHORT_FORM	984	A-LHRH	SHORT-NESTED	NESTED	887	983	 Se instauró bloqueo androgénico completo con análogo de la hormona liberadora de gonadotropina 
S0004-06142009000100014-1	SHORT_FORM	411	MAP	SHORT-LONG	LONG_FORM	382	409	Médico de Atención Primaria
S0004-06142009000100014-1	SHORT_FORM	1806	St	SHORT-LONG	LONG_FORM	1779	1804	tratamiento con Estroncio
S0004-06142009000900012-1	SHORT_FORM	597	FR	SHORT-LONG	LONG_FORM	572	595	frecuencia respiratoria
S0004-06142009000900012-1	SHORT_FORM	506	TA	SHORT-LONG	LONG_FORM	496	504	arterial
S0004-06142009000900012-1	SHORT_FORM	1833	TC	SHORT-NESTED	NESTED	1798	1832	 realizó una tomografía abdominal 
S0004-06142009000900012-1	SHORT_FORM	1509	LDH	SHORT-LONG	LONG_FORM	1485	1507	lactato deshidrogenada
S0004-06142009000900012-1	SHORT_FORM	644	T	SHORT-LONG	LONG_FORM	631	642	temperatura
S0004-06142009000900012-1	SHORT_FORM	540	FC	SHORT-LONG	LONG_FORM	519	538	frecuencia cardíaca
S0210-48062003001000009-1	SHORT_FORM	1768	RMN	SHORT-LONG	LONG_FORM	1738	1766	resonancia magnética nuclear
S0210-48062004000500010-1	SHORT_FORM	981	IR	SHORT-LONG	LONG_FORM	958	979	índice de resistencia
S0210-48062007000100012-1	SHORT_FORM	1144	M1	SHORT-NESTED	NESTED	1108	1143	 y lesiones metastásicas hepáticas 
S0210-48062007000100012-1	SHORT_FORM	1105	N2	SHORT-NESTED	NESTED	1053	1104	 crecimientos adenopáticos a nivel retroperitoneal 
S0210-56912006000100005-1	SHORT_FORM	878	VM	SHORT-LONG	LONG_FORM	856	876	ventilación mecánica
S0210-56912006000100005-1	SHORT_FORM	2043	PEEP	SHORT-LONG	LONG_FORM	1963	2041	el paciente no toleraba aumentos de presión positiva al final de la espiración
S0210-56912006000100005-1	SHORT_FORM	655	TAM	SHORT-LONG	LONG_FORM	631	653	tensión arterial media
S0210-56912006000100005-1	SHORT_FORM	1245	VRS	SHORT-LONG	LONG_FORM	1215	1243	virus respiratorio sincitial
S0210-56912008000400007-1	SHORT_FORM	657	UCI	SHORT-LONG	LONG_FORM	626	655	Unidad de Cuidados Intensivos
S0210-56912009000600008-1	SHORT_FORM	418	UCI	SHORT-LONG	LONG_FORM	387	416	unidad de cuidados intensivos
S0210-56912009000600008-1	SHORT_FORM	1090	TC	SHORT-LONG	LONG_FORM	1064	1088	tomografía computarizada
S0210-56912009000700006-2	SHORT_FORM	819	RMN	SHORT-LONG	LONG_FORM	789	817	resonancia magnética nuclear
S0210-56912010000400009-1	SHORT_FORM	660	TC	SHORT-LONG	LONG_FORM	634	658	tomografía computarizada
S0210-56912010000400009-1	SHORT_FORM	2323	VMI	SHORT-LONG	LONG_FORM	2292	2321	ventilación mecánica invasiva
S0210-56912010000400009-1	SHORT_FORM	2497	VMNI	SHORT-LONG	LONG_FORM	2463	2495	ventilación mecánica no invasiva
S0210-56912010000400009-1	SHORT_FORM	1999	RM	SHORT-LONG	LONG_FORM	1977	1997	resonancia magnética
S0210-56912010000400009-1	SHORT_FORM	981	UCI	SHORT-LONG	LONG_FORM	950	979	Unidad de Cuidados Intensivos
S0210-56912011000200009-1	SHORT_FORM	731	IO	SHORT-LONG	LONG_FORM	708	729	Índice de oxigenación
S0210-56912011000200009-1	SHORT_FORM	1266	LBA	SHORT-LONG	LONG_FORM	1243	1264	lavado broncoalveolar
S0210-56912011000200009-1	SHORT_FORM	1106	PJP	SHORT-NESTED	NESTED	1094	1105	 jirovecii 
