#DocumentID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffset	Mention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
S0004-06142005001000011-1	SHORT_FORM	2207	TSP	SHORT-LONG	LONG_FORM	2175	2205	paraparesia espástica tropical
S0004-06142005001000011-1	SHORT_FORM	1715	RMN	SHORT-LONG	LONG_FORM	1685	1713	resonancia magnética nuclear
S0004-06142005001000011-1	SHORT_FORM	1626	ROT	SHORT-LONG	LONG_FORM	1600	1624	reflejos osteotendinosos
S0004-06142005001000011-1	SHORT_FORM	1808	LCR	SHORT-LONG	LONG_FORM	1783	1806	líquido cefalorraquídeo
S0004-06142005001000011-1	SHORT_FORM	2012	PCR	SHORT-LONG	LONG_FORM	1975	2010	reacción en cadena de la polimerasa
S0004-06142005001000011-1	SHORT_FORM	1663	RCP	SHORT-LONG	LONG_FORM	1639	1661	reflejo cutaneoplantar
S0004-06142005001000011-1	SHORT_FORM	1455	EEII	SHORT-LONG	LONG_FORM	1430	1453	extremidades inferiores
S0004-06142005001000011-3	SHORT_FORM	1541	ELISA	SHORT-NESTED	NESTED	1503	1540	terminación sanguínea de anticuerpos 
S0004-06142005001000011-3	SHORT_FORM	1575	HTLV-I	SHORT-NESTED	NESTED	1547	1574	 y de existencia del virus 
S0004-06142006000600015-1	SHORT_FORM	828	FAV	SHORT-LONG	LONG_FORM	805	826	fístula arteriovenosa
S0004-06142006000700014-1	SHORT_FORM	3641	TAC	SHORT-NESTED	NESTED	3577	3640	 que se correspondió con la aparición en las pruebas de imagen 
S0004-06142006000700014-1	SHORT_FORM	926	CEA	SHORT-LONG	LONG_FORM	905	924	Carcino Embrionario
S0004-06142007000500011-1	SHORT_FORM	505	VSG	SHORT-NESTED	NESTED	476	504	lt y una eritosedimentación 
