#DocumentID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffsetMention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	EEII	SHORT-LONG	LONG_FORM	extremidades inferiores
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	TSP	SHORT-LONG	LONG_FORM	paraparesia espástica tropical
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	RMN	SHORT-LONG	LONG_FORM	resonancia magnética nuclear
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	ROT	SHORT-LONG	LONG_FORM	reflejos osteotendinosos
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	LCR	SHORT-LONG	LONG_FORM	líquido cefalorraquídeo
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	PCR	SHORT-LONG	LONG_FORM	reacción en cadena de la polimerasa
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-1.txt	SHORT_FORM	RCP	SHORT-LONG	LONG_FORM	reflejo cutaneoplantar
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142005001000011-3.txt	SHORT_FORM	ELISA	SHORT-LONG	LONG_FORM	Determinación sanguínea de anticuerpos 
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142006000600015-1.txt	SHORT_FORM	FAV	SHORT-LONG	LONG_FORM	fístula arteriovenosa
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142007000500011-1.txt	SHORT_FORM	VSG	SHORT-LONG	LONG_FORM	lt y una eritosedimentación 
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142006000700014-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	 que se correspondió con la aparición en las pruebas de imagen 
C:\Users\saral\Documents\SARA\URJC\CUARTO\TFG\barr2\Sample\ClinicalCases\S0004-06142006000700014-1.txt	SHORT_FORM	CEA	SHORT-LONG	LONG_FORM	Carcino Embrionario
